COUNTRY,YEAR,QUARTER,UNIT,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Assets - Other investment, Debt instruments","Liabilities - Portfolio investment, Equity and investment fund shares","Liabilities - Portfolio investment, Total financial assets/liabilities","Assets - Portfolio investment, Equity and investment fund shares","Liabilities - Portfolio investment, Debt securities","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Liabilities - Direct investment, Total financial assets/liabilities","Assets - Portfolio investment, Debt securities","Assets - Direct investment, Total financial assets/liabilities","Assets - Portfolio investment, Total financial assets/liabilities"
Belgium,2021,4,US dollar,-2163550733,-22354785035,4933170118,511156013.6,-15129989298,-545461786.4,-15641145312,-6529532076,23751029985,14234608630,9166502473,7705076555,8621040686
Belgium,2022,1,US dollar,13290838159,60274831575,30654512284,1386401888,13910007934,2586604169,12523606047,10034588419,468864068.8,14226322928,11792267834,24260911347,14378872003
Belgium,2022,2,US dollar,11677107314,45082705071,4988961057,-257645876.2,13761696676,1234996762,14018277900,18627158057,-14378130405,-7727246981,-1851430490,10899911076,-616433728.6
Belgium,2022,3,US dollar,17596636591,16352033282,24892066182,-1249638112,-1736000085,2008886409,-486361972.7,-70487242.42,7328659291,9331503936,3583772797,9261016694,5592659206
Belgium,2022,4,US dollar,-24136288956,-14921004644,-31769769206,-361263637.5,11966602862,5745520562,12327866500,-5261794675,5913906156,-3955530675,12134988456,-9217325350,17880509019
Belgium,2023,1,US dollar,38192581040,51814394163,45808778720,-632000624.6,20799151286,3376750366,21430078905,-4892908062,-16640179434,17933151849,782221486.2,13040243788,4158971852
Belgium,2023,2,US dollar,-20384426200,29993107339,17206572105,2220905226,19510216937,5700323413,17289311711,3344421987,-8927168065,-23625423679,4881636781,-20281001692,10583048873
Belgium,2023,3,US dollar,16881680538,18529576369,14057182731,25034084.62,-2899600062,7219612315,-2924634146,1783950638,14041944592,3373070792,3922732215,5157021431,11142344531
Belgium,2023,4,US dollar,23898468468,-25966966976,-8098752214,-1271847056,7811699667,1675010746,9083546722,-10812312627,-9080321413,-456918849.2,-2943632492,-11269231476,-1268621746
Belgium,2024,1,US dollar,10596198276,66850838371,68858459092,-1789377473,36611662022,2329013762,38401039495,3654760057,-23033891816,5667809714,11248756444,9322569771,13577770206
Belgium,2024,2,US dollar,13589251067,-3634998146,-2234188730,-773083136.5,12082923340,-1254375841,12857083194,15230168476,-10831777651,-31998966203,2505521530,-16768797727,1251145689
Belgium,2024,3,US dollar,10204727618,10206924309,22056973418,615073454.5,20187589455,6304502909,19572516000,10148712000,-9364493345,-3554245891,4519691545,6594466109,10823096109
Belgium,2024,4,US dollar,-30218678013,-20091666375,-37044076638,941029137.5,10906752013,10543585263,9965722875,463571675,10074672900,-5683559638,10436771513,-5219987963,20981424913
Belgium,2025,1,US dollar,36473096071,42414614881,54386049167,1574302540,9136426905,-1666908571,7562124365,1400666230,-9788878492,-4638720317,1014456984,-3238054087,-652451587.3
Italy,1999,1,US dollar,-3694597457,0,2870210957,4594132114,35139053957,7568653200,30544921843,-1197884057,1223681186,2355390000,28795203557,1157505943,36363856757
Italy,1999,2,US dollar,7803183568,0,6483100095,-13068720685,27374028769,13469290449,40442749454,-6300254266,7324402292,504147170.8,21229140612,-5796107095,34698431062
Italy,1999,3,US dollar,-4310657567,0,-10121814033,3180302700,24448380400,20733308700,21268077700,-632285700,14062327567,2347740767,17777399267,1715455067,38510707967
Italy,1999,4,US dollar,-6284024058,0,9618065234,7622000109,30421568732,27379204260,22799568623,1451117548,-2597064452,1734490288,445300020,3185607835,27824504280
Italy,2000,1,US dollar,12225103449,0,7990263692,-5832892495,29923044302,28600211757,35755936797,-3489081812,-2574640523,3827434954,-1251807978,338353141.5,27349390231
Italy,2000,2,US dollar,3718795573,0,5498404897,-1002255068,21675398937,17122324006,22677654005,-1162765190,1589236853,359281379,6141378585,-803483811.3,23264635790
Italy,2000,3,US dollar,-3724151031,0,-5965521462,4616716154,10115134569,20850357485,5498418415,1705469262,11124475454,2069375123,389252538.5,3774844385,21240515262
Italy,2000,4,US dollar,4952792254,0,241387841.3,5747288206,6379411762,17191503127,632123555.6,-3734565127,9393286571,6916890444,-1417936492,3182325317,15773566635
Italy,2001,1,US dollar,10632674353,0,25935896553,1573159425,23734027288,5498672263,22160867863,7856564969,-2783495109,4055686241,15452783131,11912251209,20951455394
Italy,2001,2,US dollar,-5387797056,0,5827545998,-2206597369,17430286931,6423475616,19636884300,-1348039911,-5221146168,4114793671,5785665147,2766753760,12209140763
Italy,2001,3,US dollar,6908501169,0,-6268396486,4696178308,-6355643022,-416646720,-11051821329,-1958595692,6539038800,3103483902,599152227.7,1144888209,182505507.7
Italy,2001,4,US dollar,-7356065467,0,-4143442063,1470138038,5268666546,2120546457,3798528508,-3058532152,-2858751054,3604122686,289369034.9,545590533.3,2409915492
Italy,2002,1,US dollar,6637590774,0,-3863161984,-730205112.9,-5401589323,4934363242,-4671384210,-1085226806,13418066823,3275842145,3081237661,2190615339,8015600903
Italy,2002,2,US dollar,181007039.7,0,3299473500,-5728826865,13077528913,4549984063,18806355778,-1576690762,-7801679056,4174187722,726784611.1,2597496960,5275849857
Italy,2002,3,US dollar,11338719964,0,2776146776,5624107412,22391168236,-1344788321,16767060824,112147672.7,-22361655691,2986669600,1374300867,3097833521,29512545.45
Italy,2002,4,US dollar,2486413900,0,19010872837,639592000,14229922637,1107293650,13590330637,-3183968925,-14216930925,6802660537,-1094301937,3618691612,12991712.5
Italy,2003,1,US dollar,2260028829,0,20482986824,-6210250157,19832665138,-15023933.33,26042915295,-2218176443,-5068431224,4715368790,14778184710,2497192348,14764233914
Italy,2003,2,US dollar,-14182524063,0,11474754855,-2569025889,45771648503,5816984250,48340674392,-1608057816,-22502574263,7773037605,17452089990,6163842548,23267937000
Italy,2003,3,US dollar,6956644348,0,-11515299085,10111597848,16531731388,8040913573,6420133539,-6595596194,7720356800,511766075.8,16212299376,-6083830118,24252088188
Italy,2003,4,US dollar,5013953698,0,-1589674198,3935543453,-8314578661,8818708698,-12250122114,-7005505144,18636165584,6572714262,1501689239,-432790881.2,10320397938
Italy,2004,1,US dollar,6182389575,0,18628400850,2415718425,22023903675,8765571150,19608185250,-2438213475,-11066314875,5161364250,2192017650,2721901050,10958838525
Italy,2004,2,US dollar,-7281854976,0,-6671118752,-6006175171,22273200746,1398549814,28279375917,2267072137,-19207473548,6785556506,1667177384,9051424035,3065727198
Italy,2004,3,US dollar,10215818667,0,13159587467,14096852170,18885822667,6937225188,4788970497,-4121765115,-8153103127,3427676000,3795494352,-694089115.2,10732719539
Italy,2004,4,US dollar,4842937236,0,20053030309,14722165848,10308760291,7246238352,-4413405558,-1492330606,624183497,4726146145,3686705436,3233815539,10932943788
Italy,2005,1,US dollar,-9611805355,0,43643890535,-11405659342,69704602626,11823963013,81110261968,184892845.2,-28552175961,7549135529,29328463652,7735339671,41152426665
Italy,2005,2,US dollar,5519822082,0,38174046757,-18151310897,52557320312,3357482471,70708631209,-1011274728,-24581658045,6351006789,24619439168,5339732062,27975662268
Italy,2005,3,US dollar,5189544836,0,-20653266121,11315989164,16693401867,14878159103,5377412703,1904297012,25640304036,5229802236,27455546800,7132879327,42333705903
